neighbourhood,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,last_review_dayofweek,neighbourhood_group_Central Region,neighbourhood_group_North-East Region,neighbourhood_group_West Region,neighbourhood_group_East Region,neighbourhood_group_North Region,last_review_season_Southwest Monsoon,last_review_season_Northeast Monsoon,last_review_season_Hot and Dry,last_review_season_Inter-monsoon,room_type_Private room,room_type_Entire home/apt,room_type_Shared room,airbnb_era_Post-Maturity,airbnb_era_Maturity,airbnb_era_Significant Growth,airbnb_era_Growth,price
154.84883720930233,1.29094,103.83665,0.5476604871793528,0.6294841510589716,0.019586148211334076,1,0,6.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,200
157.45038167938932,1.3024,103.85073,0.5476604871793528,1.998827165142276,0.47131904635805866,8,232,0.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,104
151.43722943722943,1.28443,103.84212,1.353312099935691,0.6294841510589716,0.029078206037454746,83,354,4.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,40
97.35,1.42301,103.84674,0.7632875349901244,0.6294841510589716,0.428581674571297,1,343,0.0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,42
142.6863157894737,1.31047,103.87613,0.7632875349901244,0.9444332094556629,0.129441045381051,203,337,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,228
135.9655172413793,1.30274,103.86315,1.287246019848224,0.9444332094556629,0.3088853605516654,274,264,0.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,106
95.53125,1.34072,103.95749,0.5476604871793528,2.4461425085787996,0.6794072356897578,1,0,2.0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,56
135.9655172413793,1.30969,103.86086,1.2359171926329946,0.6294841510589716,0.24437820468769114,59,359,3.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,50
129.52272727272728,1.32112,103.91641,0.8827548615480663,1.146990051546535,0.05642093609539817,24,350,2.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,119
157.45038167938932,1.30202,103.86126,1.287246019848224,0.6294841510589716,0.16502477606448082,274,312,3.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,136
111.03030303030303,1.33552,103.7848,0.5476604871793528,2.477722578446427,0.6281489040289114,1,0,1.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,78
135.9655172413793,1.31008,103.85881,1.055705359286362,0.6294841510589716,0.09043241689843162,4,0,5.0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,99
154.3695652173913,1.3012,103.90481,0.7632875349901244,2.7137845755875944,0.7483337531442197,1,313,6.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,381
151.43722943722943,1.28228,103.84638,0.5476604871793528,0.6294841510589716,0.05642093609539817,15,360,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,35
157.45038167938932,1.31266,103.85471,0.5476604871793528,2.7491296844291764,0.7763289319142191,16,47,0.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,139
218.83333333333334,1.27436,103.8459,1.287246019848224,0.6294841510589716,0.48319721436189694,274,236,1.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,156
172.9268292682927,1.31639,103.75721,1.287246019848224,1.4059131647005323,0.17839698790358818,274,262,6.0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,260
142.6863157894737,1.31561,103.88788,0.7632875349901244,1.293148584843654,0.38742184908560734,26,191,1.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,72
153.04395604395606,1.29704,103.83956,0.7632875349901244,1.8245155980566627,0.5430751050678536,27,345,6.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,83
153.04395604395606,1.29453,103.83733,0.5476604871793528,2.6059454712956933,0.6516611264214661,2,3,6.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,78
218.83333333333334,1.27836,103.84569,0.7632875349901244,2.144388193149705,0.7328096688114276,2,135,5.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,378
87.12962962962963,1.37058,103.89861,0.5476604871793528,1.7853009529303008,0.22175935597682567,1,90,3.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,69
151.43722943722943,1.28359,103.84564,1.014689540741857,2.061317090012272,0.3585255264817807,67,117,1.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,119
92.3913043478261,1.33755,103.6903,0.8827548615480663,2.129438654976997,0.47374589652249466,1,261,6.0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,90
142.6863157894737,1.31528,103.88817,1.014689540741857,2.020986042528727,0.24437820468769114,67,74,1.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,87
135.9655172413793,1.31739,103.85318,0.8827548615480663,0.9444332094556629,0.6341695583822058,7,363,0.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,87
142.6863157894737,1.31123,103.88521,0.7632875349901244,1.146990051546535,0.06517566394409594,1,0,5.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,156
121.60606060606061,1.28337,103.78359,0.8827548615480663,0.6294841510589716,0.029078206037454746,1,0,2.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,292
142.6863157894737,1.31466,103.8828,1.2359171926329946,0.6294841510589716,0.06517566394409594,83,359,6.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,33
